sample.id	pop	type	contribution
BEL-1002	AMR	INSIDE	
BEL-1012	AMR	CLOSEST	AMR(82.88%)|EUR(17.12%)
BEL-1018	AMR	INSIDE	
BEL-1025	AMR	INSIDE	
BEL-1036	AMR	INSIDE	
BEL-1038	AMR	CLOSEST	EUR(22.5%)|AMR(57.13%)|AFR(20.37%)
BEL-1047	AMR	INSIDE	
BEL-1060	AMR	INSIDE	
BEL-1062	AMR	INSIDE	
BEL-1064	AMR	INSIDE	
BEL-1070	AMR	INSIDE	
BEL-2002	EUR	CLOSEST	EUR(83.04%)|AMR(16.96%)
BEL-256	AMR	INSIDE	
BEL-260	AMR	INSIDE	
BEL-331	AMR	INSIDE	
BEL-336	AMR	INSIDE	
BEL-366	AMR	INSIDE	
BEL-808	AMR	INSIDE	
BEL-823	AMR	INSIDE	
BEL-923	AMR	CLOSEST	AMR(83.16%)|EUR(16.84%)
BEL-933	AMR	INSIDE	
BEL-948	AMR	INSIDE	
BEL-965	AMR	INSIDE	
BEL-966	AMR	INSIDE	
BEL-971	AMR	CLOSEST	AMR(80.67%)|EUR(19.33%)
BEL-972	AMR	INSIDE	
BEL-975	AMR	CLOSEST	EUR(20.53%)|EAS(13.55%)|AMR(32.99%)|SAS(13.31%)|AFR(19.63%)
BEL-982	AMR	INSIDE	
BEL-988	AMR	INSIDE	
BEL-999	AMR	INSIDE	
GIG-MG-33	EUR	CLOSEST	EUR(86.07%)|SAS(13.93%)
GIG-MT-100	AMR	INSIDE	
GIG-MT-11	EUR	INSIDE	
GIG-MT-126	AMR	CLOSEST	EUR(19.72%)|EAS(14.45%)|AMR(26.8%)|SAS(14.16%)|AFR(24.87%)
GIG-MT-128	AMR	INSIDE	
GIG-MT-142	EUR	CLOSEST	EUR(30.97%)|EAS(12.01%)|AMR(17.58%)|SAS(18.15%)|AFR(21.3%)
GIG-MT-146	EUR	CLOSEST	EUR(74.32%)|AMR(25.68%)
GIG-MT-148	AFR	CLOSEST	EUR(21.13%)|EAS(14.05%)|AMR(25.04%)|SAS(14.73%)|AFR(25.05%)
GIG-MT-159	AMR	INSIDE	
GIG-MT-161	AFR	CLOSEST	EUR(19.73%)|EAS(13.81%)|AMR(23.39%)|SAS(14.36%)|AFR(28.71%)
GIG-MT-163	AMR	CLOSEST	EUR(23.27%)|EAS(14.64%)|AMR(43.93%)|AFR(18.16%)
GIG-MT-164	AMR	INSIDE	
GIG-MT-17	AMR	INSIDE	
GIG-MT-171	EUR	CLOSEST	EUR(90.09%)|AMR(9.91%)
GIG-MT-176	AMR	INSIDE	
GIG-MT-185	AMR	CLOSEST	EUR(18.44%)|EAS(14.66%)|AMR(31.53%)|SAS(13.26%)|AFR(22.12%)
GIG-MT-194	AMR	INSIDE	
GIG-MT-204	AFR	CLOSEST	EUR(22.27%)|EAS(13.53%)|AMR(24.44%)|SAS(14.88%)|AFR(24.88%)
GIG-MT-216	EUR	CLOSEST	EUR(79.84%)|AMR(20.16%)
GIG-MT-218	AFR	CLOSEST	EUR(21.62%)|EAS(13.41%)|AMR(19.5%)|SAS(16.02%)|AFR(29.45%)
