"Gene Symbol","Ensembl ID",Pvalue,LogFC
ABLIM1,ENSG00000099204,"	0.000629377026242","	-29.1217270770147"
AC007319.1,AC007319.1,"	3.88080813830257e-05","	-29.3750880065326"
ADGRL2,ENSG00000117114,"	2.12101754686167e-05","	-43.2659935087115"
AFF3,ENSG00000144218,"	4.37016163604346e-05","	-33.7033355340001"
AKAP12,ENSG00000131016,"	0.0118112916657854","	-36.7942325272682"
ALOX5AP,ENSG00000132965,"	2.53596541596182e-178","	26.126671345889"
ARL15,ENSG00000185305,"	1.04603962827131e-05","	-52.4569077757952"
B2M,ENSG00000166710,"	1.86415850975418e-16","	49.0071352556501"
CEBPB,ENSG00000172216,"	4.38300096067855e-171","	36.2139945771253"
CEMIP2,ENSG00000135048,"	0.001367737186392","	-32.2591809930671"
CXCL8,ENSG00000169429,"	1.11632119092321e-26","	177.50836112152"
ERG,ENSG00000157554,"	0.0001244308863265","	-53.899602797145"
FLT1,ENSG00000102755,"	0.0046436403495703","	-38.0815433107551"
FOS,ENSG00000170345,"	3.86430343083651e-12","	24.9281656797061"
FTH1,ENSG00000167996,"	2.1455761984426106e-15","	219.380148144993"
FTL,ENSG00000087086,"	5.84505869997584e-20","	221.735113996878"
H3F3B,H3F3B,"	1.29698915163821e-29","	27.8797298559554"
HLA-B,ENSG00000234745,"	9.93754298932799e-40","	25.8206220673693"
HSP90AA1,ENSG00000080824,"	5.23893272800453e-20","	25.6049863122977"
JMJD1C,ENSG00000171988,"	2.37410994448166e-05","	-28.0457398927516"
JUN,ENSG00000177606,"	1.93989337755151e-10","	28.6760160025674"
KIAA1217,ENSG00000120549,"	8.08014489975325e-06","	-35.0223911379401"
LDB2,ENSG00000169744,"	1.8363692846648e-10","	-51.0147191333939"
LRMDA,ENSG00000148655,"	2.6324578892542302e-09","	-39.4726525694274"
MCTP1,ENSG00000175471,"	0.0365408070980497","	-72.5231013906441"
MT-ATP6,ENSG00000198899,"	4.12059278431162e-17","	77.2010789112151"
MT-CO1,ENSG00000198804,"	9.02803252658786e-18","	116.38061991451"
MT-CO2,ENSG00000198712,"	7.631237361850861e-20","	137.646514438872"
MT-CO3,ENSG00000198938,"	1.32387102731078e-20","	79.1990505644898"
MT-CYB,ENSG00000198727,"	2.87382883002061e-29","	41.6366431623766"
MT-ND2,ENSG00000198763,"	5.64700982499506e-28","	41.4707078553972"
MT-ND3,ENSG00000198840,"	5.94138614984633e-18","	42.9052634627855"
MT-ND4,ENSG00000198886,"	2.80931634390149e-24","	33.5495855281258"
MYO1E,ENSG00000157483,"	0.0062700112025255","	-38.0299573715271"
NEAT1,ENSG00000245532,"	0.0048802462988003","	25.6098710453145"
PDE4D,ENSG00000113448,"	0.0100004332637229","	-32.2596716191087"
PLPP1,ENSG00000067113,"	0.0006338410929873","	-57.2441727291334"
PRICKLE2,ENSG00000163637,"	5.72437803596984e-05","	-35.1543751205708"
PRKG1,ENSG00000185532,"	0.0003740717536894","	-34.0065933082147"
PTPRG,ENSG00000144724,"	2.49957641515855e-08","	-32.4365844679592"
RALGAPA2,ENSG00000188559,"	1.01667772229699e-06","	-38.0300033889154"
RPL41,ENSG00000229117,"	3.43988016002738e-152","	23.2391920311267"
RPLP1,ENSG00000137818,"	7.402210166005911e-261","	27.657333986258"
S100A11,ENSG00000163191,0.0,"	80.9490824110065"
S100A8,ENSG00000143546,"	4.59387903918954e-153","	23.2453593327878"
SLCO2A1,ENSG00000174640,"	8.42293763603712e-06","	-27.9324946957255"
SOD2,ENSG00000112096,"	1.66651527571335e-09","	32.2520883391088"
SRGN,ENSG00000122862,"	8.157156223509541e-20","	36.9556658418631"
SYN3,ENSG00000185666,"	0.0005817495431861","	-53.8996039993873"
TIMP3,ENSG00000100234,"	1.64955288387771e-06","	-108.796684546032"
TMSB4X,ENSG00000205542,"	1.7198873198330599e-40","	44.4162923859128"
TMTC1,ENSG00000133687,"	0.0008270402314826","	-27.9327732193855"
TPT1,ENSG00000133112,"	3.26169024920794e-99","	28.8057863308278"
VIM,ENSG00000026025,"	8.11850830539221e-16","	56.4185774366353"
WWTR1,ENSG00000018408,"	0.0004439303926262","	-29.3741430432395"
