"Gene Symbol","Ensembl ID",Pvalue,LogFC
AC092640.1,AC092640.1,"	1.20760637489332e-101","	-38.2939226607082"
AC096564.1,AC096564.1,"	1.03517636505282e-138","	-51.3553048312414"
ACSL4,ENSG00000068366,"	1.5102992331483502e-97","	-28.8240564448536"
ACTB,ENSG00000075624,0.0,"	127.224688995026"
AGBL1,ENSG00000273540,"	1.17238906761581e-214","	-45.5012646484389"
AKAP13,ENSG00000170776,0.0,"	-30.4601588176447"
AL133268.4,AL133268.4,"	1.47993001002074e-132","	-63.8300631482195"
ANK3,ENSG00000151150,0.0,"	-45.0091481289623"
ATF7IP2,ENSG00000166669,"	1.46073373101942e-81","	-51.5543475925982"
ATP13A4,ENSG00000127249,"	2.7137820007926097e-306","	-52.779259780822"
B2M,ENSG00000166710,0.0,"	126.627258278288"
BTBD9,ENSG00000183826,0.0,"	-31.2245023070281"
C20orf85,ENSG00000124237,0.0,"	60.1354128620097"
CAMK1D,ENSG00000183049,"	3.91603431550322e-168","	-43.9106034061107"
CAPS,ENSG00000105519,0.0,"	52.9302688609602"
CXCL8,ENSG00000169429,0.0,"	305.776888890265"
DLG2,ENSG00000150672,"	4.6967187525031896e-262","	-35.717017190236"
DNAH12,ENSG00000174844,"	2.0495284236098495e-230","	-32.2922712194348"
ELL2,ENSG00000118985,"	3.68116323667853e-118","	-36.5689341762168"
EMP2,ENSG00000213853,"	4.80771016675734e-83","	-39.0361863258966"
ERBB4,ENSG00000178568,"	7.512988757188059e-268","	-35.3427375457666"
FOS,ENSG00000170345,"	1.0101548084026e-70","	55.1222398216706"
FTH1,ENSG00000167996,0.0,"	557.004333947184"
FTL,ENSG00000087086,0.0,"	476.357931862592"
FTO,ENSG00000140718,"	2.31587851120498e-157","	-54.5683358206959"
G0S2,ENSG00000123689,0.0,"	57.3146432760974"
GPC5,ENSG00000179399,"	5.85856555041532e-255","	-57.1868893956179"
IFITM2,ENSG00000185201,0.0,"	53.1991382011383"
KHDRBS2,ENSG00000112232,"	1.77728504399815e-148","	-43.7659434809342"
LAMA3,ENSG00000053747,"	5.3395529021356105e-201","	-29.6059162410375"
LCN2,ENSG00000148346,0.0,"	163.024669943543"
LHFPL3,ENSG00000187416,"	7.25631597016795e-153","	-35.4387597543055"
LIMCH1,ENSG00000064042,0.0,"	-65.5552031752806"
LMO7,ENSG00000136153,"	2.51055233569776e-300","	-36.0595453606706"
LRRK2,ENSG00000188906,"	1.7417950696160104e-196","	-63.0462919903306"
MACROD2,ENSG00000172264,0.0,"	-97.4955010085818"
MAGI3,ENSG00000081026,0.0,"	-29.6599085085427"
MALAT1,ENSG00000251562,"	4.02720674088175e-105","	293.139530077606"
MARCKS,ENSG00000277443,0.0,"	48.6395425136335"
MBNL1,ENSG00000152601,0.0,"	-47.818251878591"
MT-ATP6,ENSG00000198899,0.0,"	163.144204947889"
MT-CO1,ENSG00000198804,0.0,"	282.72592941767"
MT-CO2,ENSG00000198712,0.0,"	205.119153214642"
MT-CO3,ENSG00000198938,0.0,"	145.913140871434"
MT-CYB,ENSG00000198727,0.0,"	123.831220504923"
MT-ND1,ENSG00000198888,0.0,"	72.5965655605815"
MT-ND2,ENSG00000198763,0.0,"	235.270956572635"
MT-ND3,ENSG00000198840,0.0,"	155.985275234895"
MT-ND4,ENSG00000198886,0.0,"	108.284514091886"
MT-ND5,ENSG00000198786,0.0,"	71.6236749545967"
MTRNR2L12,ENSG00000269028,0.0,"	157.230626652511"
MTRNR2L8,ENSG00000255823,0.0,"	154.258297866375"
NCKAP5,ENSG00000176771,"	1.86831068813478e-147","	-127.735784305444"
NEAT1,ENSG00000245532,"	0.0088882442544084","	62.308323534277"
NFKBIA,ENSG00000100906,"	9.72901403059595e-121","	55.4412469616666"
NTM,ENSG00000182667,"	7.33764657795289e-101","	-253.251911359084"
OMG,ENSG00000126861,0.0,"	51.4802826273502"
P3H2,ENSG00000090530,"	5.5684491292457597e-244","	-38.2954536082233"
PDE4D,ENSG00000113448,0.0,"	-90.1089793467785"
PTPRG,ENSG00000144724,"	1.53176430920874e-274","	-46.5000780387229"
ROS1,ENSG00000047936,"	2.012377985588e-235","	-26.8108096444777"
RP1,ENSG00000104237,"	0.034334092987566","	-34.1810351772116"
RTKN2,ENSG00000182010,"	5.76044197485982e-110","	-38.4709681320955"
S100A11,ENSG00000163191,0.0,"	68.0764610873488"
S100A6,ENSG00000197956,0.0,"	164.39011901752"
S100A8,ENSG00000143546,0.0,"	240.538462977985"
S100A9,ENSG00000163220,0.0,"	200.596572708588"
SAA1,ENSG00000173432,0.0,"	348.705392445729"
SAA2,ENSG00000134339,0.0,"	166.663437498097"
SAT1,ENSG00000130066,0.0,"	76.2037591513713"
SFTPC,ENSG00000168484,"	7.4074831009941e-148","	235.431727940997"
SGMS2,ENSG00000164023,"	3.35930325518843e-156","	-50.562077721867"
SLC4A4,ENSG00000080493,"	1.7181255087983298e-126","	-29.6264513955131"
SLPI,ENSG00000124107,0.0,"	147.357224756158"
SOD2,ENSG00000112096,"	7.2868345948863e-236","	132.257671861442"
SOX5,ENSG00000134532,0.0,"	-26.8014111305493"
SPAG16,ENSG00000144451,"	7.44238046664479e-52","	-30.5059836940533"
SRGN,ENSG00000122862,0.0,"	117.900494875139"
SYNE1,ENSG00000131018,"	4.527109654599e-273","	-66.9010683194551"
TACC1,ENSG00000147526,"	4.90036993878662e-252","	-29.4283797532465"
TMEM190,ENSG00000160472,0.0,"	61.4359184888194"
TMSB4X,ENSG00000205542,0.0,"	99.0005039291425"
VIM,ENSG00000026025,0.0,"	60.177606688219"
WFDC2,ENSG00000101443,0.0,"	105.751722074184"
WSB1,ENSG00000109046,"	3.09709954403821e-264","	-30.8046313697088"
ZNF385B,ENSG00000144331,0.0,"	-68.5882659815008"
