"Gene Symbol","Ensembl ID",Pvalue,LogFC,Dataset,Accession,Tissue
ANK2,ENSG00000145362,"	2.70758216643123e-218","	-40.2210621824818",,,
B2M,ENSG00000166710,0.0,"	160.441587083651",,,
C7,ENSG00000112936,"	3.2590292067956e-194","	-49.849488828614",,,
CALD1,ENSG00000122786,0.0,"	-52.7340222813902",,,
CCL3,ENSG00000277632,0.0,"	202.322577096077",,,
CCL3L3,ENSG00000276085,0.0,"	160.488417051316",,,
CCL4,ENSG00000275302,0.0,"	205.201606145224",,,
CCL4L2,ENSG00000276070,0.0,"	185.013700993618",,,
COL1A2,ENSG00000164692,0.0,"	-169.59317544973",,,
COL3A1,ENSG00000168542,"	1.11308562565788e-208","	-85.5680553530428",,,
COL6A3,ENSG00000163359,0.0,"	-39.2659222491381",,,
CRISPLD2,ENSG00000103196,"	2.39978247244238e-222","	-40.8218864198948",,,
CXCL8,ENSG00000169429,0.0,"	738.941229007323",,,
DNAJB1,ENSG00000132002,0.0,"	148.903145525035",,,
DPYSL3,ENSG00000113657,"	1.08790124547049e-300","	-41.2560133789421",,,
EBF1,ENSG00000164330,"	4.74409573588111e-227","	-42.6354135349726",,,
ELN,ENSG00000049540,0.0,"	-119.097765931961",,,
FTH1,ENSG00000167996,0.0,"	402.986133258376",,,
FTL,ENSG00000087086,0.0,"	491.510444885316",,,
GAS7,ENSG00000007237,"	7.3025564986278e-150","	-74.1173072253793",,,
GLIS3,ENSG00000107249,"	4.81044929492881e-173","	-39.747488525522",,,
GPC6,ENSG00000183098,"	5.21540109663567e-259","	-46.9641416636861",,,
HSP90AA1,ENSG00000080824,0.0,"	241.923998012101",,,
HSP90AB1,ENSG00000096384,0.0,"	117.033492987012",,,
HSPA1A,ENSG00000204389,0.0,"	447.303303287083",,,
HSPA1B,ENSG00000204388,0.0,"	238.350092544667",,,
HSPA6,ENSG00000173110,0.0,"	333.600260442391",,,
ITGBL1,ENSG00000198542,"	6.78331227726089e-228","	-68.6044984922435",,,
KAZN,ENSG00000189337,"	3.77791390580685e-288","	-45.5118812865142",,,
LAMA2,ENSG00000196569,0.0,"	-72.9416258230726",,,
LSAMP,ENSG00000185565,0.0,"	-49.8532154114541",,,
MACF1,ENSG00000127603,0.0,"	-60.7833817739505",,,
MALAT1,ENSG00000251562,"	1.84164700907379e-25",inf,,,
MT-ATP6,ENSG00000198899,0.0,"	158.228585694517",,,
MT-CO1,ENSG00000198804,0.0,"	230.375132288156",,,
MT-CO2,ENSG00000198712,0.0,"	145.445531128716",,,
MT-CO3,ENSG00000198938,0.0,"	171.211111351149",,,
MT-CYB,ENSG00000198727,0.0,"	113.523523246718",,,
MT2A,ENSG00000125148,"	4.41680720193526e-27","	130.903026472318",,,
NAV3,ENSG00000067798,0.0,"	-46.9630139476946",,,
NEAT1,ENSG00000245532,0.0,"	350.12622649567",,,
NFATC2,ENSG00000101096,"	1.7934460955053602e-148","	-58.6846002185094",,,
PRKG1,ENSG00000185532,0.0,"	-67.1633213446328",,,
ROBO2,ENSG00000185008,0.0,"	-93.1292554158057",,,
S100A8,ENSG00000143546,0.0,"	423.053019108106",,,
S100A9,ENSG00000163220,0.0,"	274.461325282638",,,
SAMD4A,ENSG00000020577,0.0,"	-38.3497630899022",,,
SAT1,ENSG00000130066,0.0,"	121.853242406619",,,
SDK1,ENSG00000146555,0.0,"	-43.7621780906387",,,
SERPINE1,ENSG00000106366,"	5.69568678840688e-63","	-99.9688329598948",,,
SLIT2,ENSG00000145147,0.0,"	-98.8961045215244",,,
SLIT3,ENSG00000184347,0.0,"	-52.7327383124192",,,
SOD2,ENSG00000112096,0.0,"	149.486697827773",,,
TACC1,ENSG00000147526,"	4.11498974614292e-284","	-66.6964280057193",,,
TIMP1,ENSG00000102265,0.0,"	183.400499153749",,,
TIMP3,ENSG00000100234,0.0,"	-202.770147465529",,,
VIM,ENSG00000026025,0.0,"	114.842770732018",,,
