"Gene Symbol","Ensembl ID",Pvalue,LogFC,Dataset,Accession,Tissue
ABCG1,ENSG00000160179,"	9.43560733094769e-26","	-27.0956533731354",,,
AC092691.1,AC092691.1,0.0,"	-38.1682874882521",,,
AKAP13,ENSG00000170776,0.0,"	-25.2246135026433",,,
ALCAM,ENSG00000170017,0.0,"	-42.9962855195206",,,
ANKUB1,ENSG00000206199,0.0,"	-21.4918512928532",,,
APOC1,ENSG00000130208,0.0,"	187.136751367723",,,
APOE,ENSG00000130203,0.0,"	120.161146040813",,,
ATP10A,ENSG00000206190,0.0,"	-20.8477255849421",,,
ATP1B3,ENSG00000069849,"	6.89888739459715e-55","	-40.0324518864806",,,
B2M,ENSG00000166710,0.0,"	87.0484068269676",,,
CCL18,ENSG00000275385,"	2.6649596968395e-209","	283.048275765882",,,
CCL2,ENSG00000108691,0.0,"	487.149062951558",,,
CCL20,ENSG00000115009,0.0,"	257.730067468849",,,
CCL3,ENSG00000277632,0.0,"	261.535436244472",,,
CCL3L3,ENSG00000276085,0.0,"	207.270358619284",,,
CCL4,ENSG00000275302,0.0,"	225.577532052857",,,
CCL4L2,ENSG00000276070,0.0,"	194.090672848541",,,
CHST11,ENSG00000171310,0.0,"	-52.2159680994176",,,
CST3,ENSG00000101439,0.0,"	136.092923807665",,,
CXCL2,ENSG00000081041,0.0,"	109.930412678943",,,
CXCL3,ENSG00000163734,0.0,"	178.476384042577",,,
CXCL8,ENSG00000169429,0.0,"	815.160252124344",,,
FMN1,ENSG00000248905,0.0,"	-27.9975955365987",,,
FMNL2,ENSG00000157827,0.0,"	-40.7585489374923",,,
FNDC3B,ENSG00000075420,0.0,"	-36.5673265913858",,,
FTH1,ENSG00000167996,0.0,"	626.381906726056",,,
FTL,ENSG00000087086,0.0,inf,,,
GLDN,ENSG00000186417,"	5.93980748687837e-95","	-36.6805998530563",,,
HLA-DRA,ENSG00000204287,0.0,"	113.97274631909",,,
HMOX1,ENSG00000100292,0.0,"	102.662353814778",,,
HSP90AA1,ENSG00000080824,0.0,"	147.418725295068",,,
IFI27,ENSG00000165949,0.0,"	129.310064216368",,,
IL1B,ENSG00000125538,0.0,"	152.30526062531",,,
ISG15,ENSG00000187608,0.0,"	161.061228235648",,,
KCNMA1,ENSG00000156113,0.0,"	-30.1933384390744",,,
LPP,ENSG00000145012,0.0,"	-27.9588575729338",,,
LRMDA,ENSG00000148655,0.0,"	-25.3002134535894",,,
LSAMP,ENSG00000185565,0.0,"	-101.645540873204",,,
MALAT1,ENSG00000251562,"	4.98120540626817e-72",inf,,,
MBNL1,ENSG00000152601,0.0,"	-24.7328107559628",,,
MRC1,ENSG00000260314,"	2.99131867244209e-95","	-25.68665122996",,,
MT-ATP6,ENSG00000198899,0.0,"	158.946547507323",,,
MT-CO1,ENSG00000198804,0.0,"	170.497134567634",,,
MT-CO2,ENSG00000198712,0.0,"	160.419076942641",,,
MT-CO3,ENSG00000198938,0.0,"	114.190175654437",,,
MT-CYB,ENSG00000198727,0.0,"	83.5937695301201",,,
MT-ND2,ENSG00000198763,0.0,"	115.266803004283",,,
MT-ND3,ENSG00000198840,0.0,"	87.9212050113537",,,
MT2A,ENSG00000125148,"	5.0160731724085803e-300","	387.250748035792",,,
NHSL1,ENSG00000135540,0.0,"	-35.2799948573981",,,
PLXDC2,ENSG00000120594,0.0,"	-30.1471837155064",,,
PPARG,ENSG00000132170,"	1.47464825751748e-216","	-42.1042795238282",,,
RAB7A,ENSG00000075785,"	0.0048086307296252","	-24.8604736322422",,,
RABGAP1L,ENSG00000152061,0.0,"	-28.0439676161417",,,
RBPJ,ENSG00000168214,0.0,"	-110.749015447716",,,
RNF144B,ENSG00000137393,0.0,"	-21.4350136012903",,,
RUNX1,ENSG00000159216,0.0,"	-21.8470559334032",,,
S100A8,ENSG00000143546,0.0,"	198.066745432267",,,
S100A9,ENSG00000163220,0.0,"	207.978145054262",,,
SIPA1L1,ENSG00000197555,0.0,"	-29.7161059633005",,,
SLC16A10,ENSG00000112394,"	5.22832223510146e-73","	-28.6249165444061",,,
SLC8A1,ENSG00000183023,0.0,"	-33.9933074567114",,,
SLC9A9,ENSG00000181804,0.0,"	-26.6059679269414",,,
SOD2,ENSG00000112096,0.0,"	131.540601662376",,,
SPP1,ENSG00000118785,0.0,"	472.041779695253",,,
SPRED1,ENSG00000166068,"	3.85677399548425e-291","	-21.8082308176877",,,
TBXAS1,ENSG00000059377,0.0,"	-23.3620620123793",,,
TCF7L2,ENSG00000148737,0.0,"	-21.0771401522752",,,
TFEC,ENSG00000105967,"	6.3810774475286e-76","	-24.9086805106745",,,
TIMP1,ENSG00000102265,0.0,"	185.5537370802",,,
TMSB4X,ENSG00000205542,0.0,"	92.6131620643517",,,
TPRG1,ENSG00000188001,0.0,"	-28.0949608899266",,,
TRPS1,ENSG00000104447,0.0,"	-22.7673558494174",,,
TXN,ENSG00000136810,0.0,"	100.311027674153",,,
ZEB2,ENSG00000169554,0.0,"	-23.3144645540461",,,
