"Gene Symbol","Ensembl ID",Pvalue,LogFC
AC092979.1,AC092979.1,"	6.50660733152525e-22","	-13.2572543313885"
ACTB,ENSG00000075624,"	6.41404567820151e-108","	45.8495586348798"
AKAP13,ENSG00000170776,"	5.942787759655601e-32","	-23.1246169710047"
AL163541.1,AL163541.1,"	4.64020295621804e-11","	-20.0173581173225"
AL355612.1,AL355612.1,"	2.0055881123961503e-09","	-12.3280352629157"
ANKRD28,ENSG00000206560,"	0.0398657900954486","	-11.9645934266975"
APOC1,ENSG00000130208,"	1.33565249055327e-32","	42.9588700323011"
ARID1B,ENSG00000049618,"	7.70253735169922e-22","	-14.1260037460774"
B2M,ENSG00000166710,"	3.9792564439395803e-44","	43.4737633629009"
CD69,ENSG00000110848,"	9.414323009680093e-19","	25.199796007549"
CHST11,ENSG00000171310,"	6.700838603800551e-20","	-12.4082513271164"
CPA3,ENSG00000163751,"	7.63848424210894e-08","	60.3765859864855"
CPM,ENSG00000135678,"	5.428050705838109e-16","	-12.6942367935374"
EEF1A1,ENSG00000156508,"	8.540817433580642e-110","	26.8043040320837"
ELL2,ENSG00000118985,"	6.34490654248609e-06","	-13.133724567618"
FER,ENSG00000151422,"	1.1857748519407399e-28","	-15.4032781916811"
FOS,ENSG00000170345,"	1.42374312399348e-68","	56.6232920110126"
FOXP1,ENSG00000114861,"	1.1647622781040102e-19","	-12.6533158510692"
FTH1,ENSG00000167996,"	1.51468112022001e-42","	165.398979530277"
FTL,ENSG00000087086,"	1.86446671615397e-50","	115.252148480273"
GATA2,ENSG00000179348,"	6.01676443625789e-19","	26.4858318711968"
H3F3B,H3F3B,"	2.48568185384447e-65","	30.6190215129324"
IER3,ENSG00000137331,"	1.86985496195812e-45","	27.0314687208747"
JUN,ENSG00000177606,"	7.9648651191632e-83","	48.7049375235272"
KIT,ENSG00000157404,"	1.3763542944046601e-17","	-11.9058654866375"
KLF6,ENSG00000067082,"	4.18648061443567e-70","	23.2865607134105"
LINC02147,ENSG00000249797,"	2.02966179508089e-08","	-15.6604813805397"
LMNA,ENSG00000160789,"	1.80443075333327e-12","	-12.555889629187"
LRMDA,ENSG00000148655,"	6.798208557343379e-33","	-15.4718457454158"
MALAT1,ENSG00000251562,"	1.98140738303781e-24","	171.575135682465"
MBNL1,ENSG00000152601,"	3.58519320854036e-12","	-12.6304321171965"
MT-ATP6,ENSG00000198899,"	6.74758380898411e-50","	147.049127764532"
MT-CO1,ENSG00000198804,"	2.1302548918117295e-57","	148.475960035851"
MT-CO2,ENSG00000198712,"	2.48836210382117e-50","	100.882798141804"
MT-CO3,ENSG00000198938,"	2.0320649348922304e-60","	130.491850425774"
MT-CYB,ENSG00000198727,"	1.14428528667038e-77","	95.7006762336381"
MT-ND2,ENSG00000198763,"	1.33165730093107e-57","	76.7803715526468"
MT-ND3,ENSG00000198840,"	3.62292169541445e-42","	71.2704239673498"
MT-ND4,ENSG00000198886,"	9.24670749650449e-63","	76.546975447507"
NDEL1,ENSG00000166579,"	1.10142618075567e-05","	-16.8976444069429"
NFKBIA,ENSG00000100906,"	4.30909283314576e-63","	44.3220171254008"
NTM,ENSG00000182667,"	2.82665378594202e-22","	-120.836361672215"
RGS1,ENSG00000090104,"	2.97110568939163e-14","	26.2912661067189"
RPL10,ENSG00000147403,"	2.07946836560524e-100","	24.3340726516418"
S100A11,ENSG00000163191,"	8.216496331672309e-77","	22.7762061060535"
SAT1,ENSG00000130066,"	7.729367572763189e-33","	69.0268359114985"
SLC24A3,ENSG00000185052,"	6.13510374094772e-38","	-32.3249579338495"
SMYD3,ENSG00000185420,"	2.53755787343795e-27","	-27.0666645508392"
SYTL3,ENSG00000164674,"	2.86276414230962e-19","	-14.2589482901481"
TMSB4X,ENSG00000205542,"	2.60609006591565e-85","	32.9530355564922"
TPSAB1,ENSG00000172236,"	4.58311996174797e-52","	254.889283304536"
TPSB2,ENSG00000197253,"	2.11851466478448e-31","	171.217336818404"
VIM,ENSG00000026025,"	1.40718899146813e-55","	59.3903219165751"
ZBTB20,ENSG00000181722,"	2.85585807681159e-31","	-13.8218748985387"
