"Gene Symbol","Ensembl ID",Pvalue,LogFC
AKAP13,ENSG00000170776,0.0,"	-16.6894367806365"
AL133268.4,AL133268.4,0.0,"	-61.5433678648381"
ALCAM,ENSG00000170017,0.0,"	-34.1211143161437"
ANK3,ENSG00000151150,0.0,"	-21.6852939127638"
ANKRD36C,ENSG00000174501,0.0,"	-46.572016808694"
ANXA2,ENSG00000182718,0.0,"	-15.9474673742201"
ATF7IP2,ENSG00000166669,0.0,"	-30.2516719489509"
ATP11A,ENSG00000068650,0.0,"	-25.1789440131089"
B2M,ENSG00000166710,0.0,"	154.930679923127"
BTBD9,ENSG00000183826,0.0,"	-15.4376566410136"
CAMK1D,ENSG00000183049,"	5.01298102078923e-165","	-18.092509082481"
CCL3,ENSG00000277632,"	2.64765562001031e-61","	270.56839462778"
CCL3L3,ENSG00000276085,"	1.3113601492541e-56","	211.417897951333"
CCL4,ENSG00000275302,"	2.73459474755481e-58","	362.896527119576"
CCL4L2,ENSG00000276070,"	1.37392523262186e-49","	321.062721059989"
CDK14,ENSG00000058091,0.0,"	-15.293023276982"
CXCL8,ENSG00000169429,0.0,"	796.516435802912"
EFNA5,ENSG00000184349,0.0,"	-25.4808084072993"
EGFR,ENSG00000146648,0.0,"	-24.0249465505029"
ERBB4,ENSG00000178568,0.0,"	-20.708339331019"
FAM155A,FAM155A,0.0,"	-21.3320586278108"
FTH1,ENSG00000167996,0.0,"	794.574291994858"
FTL,ENSG00000087086,0.0,inf
FTO,ENSG00000140718,0.0,"	-16.8122079017129"
G0S2,ENSG00000123689,"	2.56219279988419e-226","	181.191398978484"
GLIS3,ENSG00000107249,0.0,"	-15.5859872475822"
GMDS,ENSG00000112699,0.0,"	-27.0132418070708"
GPC5,ENSG00000179399,0.0,"	-71.6386374474754"
H3F3B,H3F3B,"	6.93733470757654e-301","	190.416993345929"
IL1B,ENSG00000125538,"	6.9899541375752e-99","	199.876361735647"
KHDRBS2,ENSG00000112232,0.0,"	-18.5182602968702"
LIMCH1,ENSG00000064042,0.0,"	-19.9353264138179"
LINC00342,ENSG00000232931,0.0,"	-87.5038064476087"
LMO7,ENSG00000136153,0.0,"	-24.0970778523175"
LRRK2,ENSG00000188906,"	1.9302099326206e-07","	-18.4989561722291"
MACROD2,ENSG00000172264,0.0,"	-113.476466065378"
MAGI3,ENSG00000081026,0.0,"	-24.0318170254748"
MALAT1,ENSG00000251562,"	6.12071651485843e-10",inf
MECOM,ENSG00000085276,0.0,"	-19.2737912463182"
MT-ATP6,ENSG00000198899,"	1.10817901509127e-128","	204.741372879965"
MT-CO1,ENSG00000198804,"	5.78683912357583e-58","	307.883434982239"
MT-CO2,ENSG00000198712,"	1.1445628579520301e-167","	235.42162320023"
MT-CO3,ENSG00000198938,"	2.3234569015768505e-113","	254.527785292635"
MT-ND2,ENSG00000198763,"	1.8356139804796496e-134","	236.365371369934"
MTRNR2L8,ENSG00000255823,"	5.874420260287861e-167","	189.62234662428"
NCKAP5,ENSG00000176771,0.0,"	-54.3262276633195"
NEAT1,ENSG00000245532,"	7.132316775333131e-233","	412.885531705392"
NEDD4L,ENSG00000049759,0.0,"	-19.0086675256316"
NTN4,ENSG00000074527,0.0,"	-26.9141644701404"
PDE4D,ENSG00000113448,0.0,"	-37.1524048285017"
PI3,ENSG00000124102,"	2.63645245413599e-65","	512.941161497126"
PTPRG,ENSG00000144724,0.0,"	-17.3321013240116"
PTPRN2,ENSG00000155093,0.0,"	-21.1012467779882"
RBPJ,ENSG00000168214,"	4.33665307759669e-14","	-15.8344432419731"
RGS6,ENSG00000182732,0.0,"	-19.8994909804147"
RUNX1,ENSG00000159216,0.0,"	-16.4926171938374"
S100A8,ENSG00000143546,"	4.34753314325978e-262","	606.716339155057"
S100A9,ENSG00000163220,"	1.40438851912202e-292","	430.707722198585"
SAT1,ENSG00000130066,"	8.820685114157439e-273","	222.519225273733"
SFTPB,ENSG00000168878,0.0,"	-83.3615238446154"
SGPP2,ENSG00000163082,0.0,"	-18.1945754253123"
SLPI,ENSG00000124107,"	2.02999739170046e-34","	242.798774934125"
SOD2,ENSG00000112096,0.0,"	180.176551559621"
SOX5,ENSG00000134532,0.0,"	-18.2999092941372"
SSBP2,ENSG00000145687,0.0,"	-39.8976972648556"
SYNE1,ENSG00000131018,0.0,"	-17.4068628957472"
TMSB4X,ENSG00000205542,0.0,"	198.353675958021"
ZNF385B,ENSG00000144331,0.0,"	-16.2135411978423"
