"Gene Symbol","Ensembl ID",Pvalue,LogFC
AC013652.1,AC013652.1,0.0,"	-18.6329400201314"
ACTB,ENSG00000075624,0.0,"	126.755826640548"
ANK3,ENSG00000151150,0.0,"	-22.8559105285059"
AOAH,ENSG00000136250,0.0,"	-19.1065665779263"
ARHGAP15,ENSG00000075884,0.0,"	-18.5101331263321"
ATXN1,ENSG00000124788,0.0,"	-15.7698565400473"
B2M,ENSG00000166710,0.0,"	96.1011294031177"
BACH2,ENSG00000112182,"	7.36982963574826e-255","	-43.2866660865967"
BCL2,ENSG00000171791,"	6.27971879769656e-269","	-22.7731165551722"
CAMK1D,ENSG00000183049,0.0,"	-15.6851814240248"
CBLB,ENSG00000114423,0.0,"	-26.4988518434211"
CCL3,ENSG00000277632,"	1.61184765025854e-224","	77.7838732353114"
CCL4,ENSG00000275302,0.0,"	247.761038719726"
CCL5,ENSG00000271503,0.0,"	112.998926497053"
CELF2,ENSG00000048740,0.0,"	-19.111341290373"
CTSD,ENSG00000117984,0.0,"	59.5459633623573"
FKBP5,ENSG00000096060,0.0,"	-26.9634358470216"
FOXP1,ENSG00000114861,0.0,"	-15.1414364614158"
FTH1,ENSG00000167996,0.0,"	480.989055949322"
FTL,ENSG00000087086,0.0,"	509.660084529632"
FYN,ENSG00000010810,0.0,"	-16.6658285422622"
GMDS,ENSG00000112699,"	3.61300080362217e-242","	-19.9904137997405"
GNLY,ENSG00000115523,0.0,"	314.938572563415"
GZMA,ENSG00000145649,0.0,"	88.1924000896454"
GZMB,ENSG00000100453,0.0,"	170.501803961981"
JUN,ENSG00000177606,0.0,"	69.6380651080113"
LINC02694,ENSG00000175779,0.0,"	-16.6613594286233"
LPP,ENSG00000145012,0.0,"	-54.9638264287006"
LTB,ENSG00000227507,0.0,"	188.750287962583"
MALAT1,ENSG00000251562,0.0,"	429.052280665186"
MBNL1,ENSG00000152601,0.0,"	-22.7940828475189"
MT-ATP6,ENSG00000198899,0.0,"	178.022148672687"
MT-CO1,ENSG00000198804,0.0,"	186.389285903732"
MT-CO2,ENSG00000198712,0.0,"	166.824469468043"
MT-CO3,ENSG00000198938,0.0,"	241.153044442745"
MT-CYB,ENSG00000198727,0.0,"	149.672703525227"
MT-ND1,ENSG00000198888,0.0,"	65.173797716105"
MT-ND2,ENSG00000198763,0.0,"	98.1305648060875"
MT-ND3,ENSG00000198840,0.0,"	133.296997422464"
MT-ND4,ENSG00000198886,0.0,"	96.9051097012866"
MTRNR2L8,ENSG00000255823,0.0,"	89.7138564152505"
NEAT1,ENSG00000245532,"	0.0027641006162811","	231.366373258744"
NFKBIA,ENSG00000100906,0.0,"	56.5832527338979"
NKG7,ENSG00000105374,0.0,"	60.7397900939735"
PRKCH,ENSG00000027075,0.0,"	-15.0966375617631"
RABGAP1L,ENSG00000152061,0.0,"	-17.5432753389374"
RNF213,ENSG00000173821,"	0.0465952000500768","	56.2316757677368"
RPL10,ENSG00000147403,0.0,"	55.1789976936283"
RPL28,ENSG00000108107,0.0,"	67.8882910561885"
RPS18,ENSG00000231500,0.0,"	68.11202879399"
RPS27,ENSG00000177954,0.0,"	66.5881817657558"
S100A11,ENSG00000163191,0.0,"	63.8903583788612"
S100A6,ENSG00000197956,0.0,"	63.6300192956882"
SAT1,ENSG00000130066,0.0,"	65.6683173815823"
SMCHD1,ENSG00000101596,0.0,"	-20.5282734742241"
SRGN,ENSG00000122862,0.0,"	71.5830364859566"
THADA,ENSG00000115970,"	2.83195776990043e-232","	-23.8418956507095"
THEMIS,ENSG00000172673,"	2.15156162339067e-297","	-16.5539470156752"
TMEM131L,ENSG00000121210,0.0,"	-21.5246891604925"
TMSB4X,ENSG00000205542,0.0,"	77.2801927688523"
TOX,ENSG00000198846,0.0,"	-28.5323838378117"
VIM,ENSG00000026025,0.0,"	63.919788181843"
ZEB2,ENSG00000169554,"	5.65432427800097e-26","	-15.1146166105385"
