"Gene Symbol","Ensembl ID",Pvalue,LogFC
AC019117.1,AC019117.1,"	1.08239714569266e-187","	-25.3581180331388"
ADAM28,ENSG00000042980,"	3.13262952725867e-37","	-19.988854874049"
AGR2,ENSG00000106541,"	8.37332126742674e-223","	152.735675932703"
ALCAM,ENSG00000170017,"	2.16258600261911e-86","	-31.7086861349377"
ANK3,ENSG00000151150,"	3.01474348846384e-190","	-35.2892171656876"
ANKRD36C,ENSG00000174501,"	2.80387866636244e-206","	-55.5873669456771"
ARHGAP26,ENSG00000145819,"	3.073500392725409e-230","	-17.5621357069193"
BPIFA1,ENSG00000198183,"	3.3365019663784604e-120","	455.69156333893"
BPIFB1,ENSG00000125999,"	7.85392949499632e-129","	624.032651894606"
CAMK1D,ENSG00000183049,"	1.76050069364801e-77","	-52.5455780515418"
CEMIP,ENSG00000103888,"	2.43435963555332e-162","	-49.8656593687104"
CHST9,ENSG00000154080,"	4.22855830874381e-07","	-40.4684681573496"
CP,ENSG00000047457,"	0.0113147120551011","	-22.1458510184361"
CXCL8,ENSG00000169429,0.0,"	315.107986840205"
CYP3A5,ENSG00000106258,"	9.48857639070851e-206","	-18.2599719370631"
ERRFI1,ENSG00000116285,"	7.007689693158279e-135","	-19.0805886018304"
FAM155A,FAM155A,"	1.4287822967634e-189","	-19.7779200258134"
FER1L6,ENSG00000214814,"	3.78106282856404e-184","	-17.046119461096"
FOXN3,ENSG00000053254,"	7.02461885736324e-63","	-17.1163452249629"
FTH1,ENSG00000167996,0.0,"	571.946411843832"
FTL,ENSG00000087086,0.0,"	745.977447799755"
GMDS,ENSG00000112699,"	3.4401988141636e-226","	-29.4317215797709"
GPRC5A,ENSG00000013588,"	3.2998353734738e-95","	-20.9219809175767"
HBB,ENSG00000244734,"	4.16759106359394e-220","	400.239808796407"
IL1RAPL2,ENSG00000189108,"	4.84825068566479e-121","	-35.4486317439799"
KRT17,ENSG00000128422,"	9.43830207558668e-93","	198.408365455735"
LCN2,ENSG00000148346,0.0,"	376.343710006085"
LIMCH1,ENSG00000064042,"	6.7127825904181e-165","	-29.2143650612624"
LINC00342,ENSG00000232931,"	1.39157548124479e-298","	-131.744772505135"
LINC00511,ENSG00000227036,"	1.9829152989777003e-248","	-18.4125025861556"
MACROD2,ENSG00000172264,"	7.17476898253077e-204","	-74.3925643679215"
MBNL1,ENSG00000152601,"	6.478656416480769e-126","	-20.3983636203162"
MGAT5,ENSG00000152127,"	1.79789679286793e-249","	-26.8473818229969"
MSMB,ENSG00000263639,"	3.3511945698866108e-149",inf
MT-ATP6,ENSG00000198899,0.0,"	151.27236554064"
MT-CO1,ENSG00000198804,0.0,"	199.137255915022"
MT-CO2,ENSG00000198712,0.0,"	213.860297876082"
MT-CO3,ENSG00000198938,0.0,"	155.60943948824"
MT-ND4,ENSG00000198886,0.0,"	177.241616760215"
MT2A,ENSG00000125148,"	6.06179139176846e-165","	153.452308217338"
MUC5AC,ENSG00000215182,"	7.85625425292467e-13","	161.371737221875"
MYO1E,ENSG00000157483,"	2.9460067939496494e-232","	-19.6173906187909"
NCKAP5,ENSG00000176771,"	3.96605177832691e-180","	-37.0993146335413"
NEAT1,ENSG00000245532,"	0.0380021074426662","	268.131809757226"
NEBL,ENSG00000078114,"	5.02214103198474e-264","	-29.5276062311679"
NEDD4L,ENSG00000049759,"	9.83332671991038e-251","	-33.853086711813"
PDE4D,ENSG00000113448,0.0,"	-31.3433596568099"
PELI1,ENSG00000197329,"	4.4284844169454696e-27","	-26.0062288789949"
PLAT,ENSG00000104368,"	2.44048723136289e-88","	-17.2937769215886"
PTPRN2,ENSG00000155093,"	1.9742119775596202e-307","	-22.192664328135"
RGS6,ENSG00000182732,"	6.92526833664288e-260","	-30.4870815879084"
RUNX1,ENSG00000159216,"	1.29030717216879e-130","	-17.7729326402756"
S100A2,ENSG00000196754,"	3.79799900172025e-181","	214.114723645553"
S100A8,ENSG00000143546,"	5.809523397774529e-306","	170.862203094506"
S100A9,ENSG00000163220,0.0,"	296.376671629873"
SCGB1A1,ENSG00000149021,"	3.04406027203462e-215",inf
SCGB3A1,ENSG00000161055,"	3.1636102292553e-100",inf
SDK1,ENSG00000146555,"	1.03516692755077e-67","	-58.3848593271948"
SERPINB3,ENSG00000057149,0.0,"	235.193001779066"
SLC4A4,ENSG00000080493,"	1.03678921207303e-40","	-52.3346771046193"
SLPI,ENSG00000124107,0.0,"	680.569245229948"
SOD2,ENSG00000112096,"	9.847738742321769e-276","	140.23902545211"
TFF3,ENSG00000160180,"	7.23399147987701e-116","	464.594217544771"
TOP1,ENSG00000198900,"	3.56682074788641e-48","	-24.5742884286238"
WFDC2,ENSG00000101443,0.0,"	258.946697898116"
