"Gene Symbol","Ensembl ID",Pvalue,LogFC,Dataset,Accession,Tissue
ABCB1,ENSG00000085563,"	7.80248989932604e-16","	29.1769594466013",,,
ADAMTS9,ENSG00000163638,"	0.0319306140883992","	-34.6525642331403",,,
ANO2,ENSG00000047617,"	0.0006202240185874","	-65.1352706901006",,,
BMP6,ENSG00000153162,"	0.0037521345249997","	42.2437241035073",,,
CHST11,ENSG00000171310,"	0.0009852825483419","	-28.2792506101921",,,
DNAJB6,ENSG00000105993,"	0.0064857953438908","	-29.3953454316525",,,
ELOVL5,ENSG00000012660,"	0.0310144150782071","	-31.3315791193584",,,
ELOVL7,ENSG00000164181,"	3.86945273152694e-17","	47.1829480166437",,,
FKBP5,ENSG00000096060,"	0.0160979248968033","	34.7269175359551",,,
FLT1,ENSG00000102755,"	3.50500017811516e-16","	105.716882235741",,,
HIF1A-AS3,ENSG00000258667,"	0.0064248039675393","	39.237374064973",,,
HSP90AA1,ENSG00000080824,"	2.01237573419154e-21","	-47.2012676437312",,,
HSPH1,ENSG00000120694,"	1.07408281684774e-25","	-38.554802970813",,,
IQCJ-SCHIP1,ENSG00000283154,"	2.07397988329626e-06","	-36.3536307777293",,,
KAZN,ENSG00000189337,"	8.29375121659521e-08","	46.5476970580821",,,
KCNIP4,ENSG00000185774,"	2.53858718478049e-10","	96.9848899418211",,,
KCNMA1,ENSG00000156113,"	0.0014711515278756","	32.1469389937494",,,
LEF1,ENSG00000138795,"	1.39950900120259e-16","	31.5168046887345",,,
LINC00486,ENSG00000236854,"	3.27849658058886e-26","	-52.9715844702844",,,
MALAT1,ENSG00000251562,"	1.53650050860407e-18","	-91.9253095421234",,,
MT-ATP6,ENSG00000198899,"	2.68749842796871e-17","	-58.5597836111845",,,
MT-CO3,ENSG00000198938,"	3.01124979663241e-15","	56.4029457644945",,,
MT-ND2,ENSG00000198763,"	2.71500634298926e-16","	-68.8416245384455",,,
MT-ND3,ENSG00000198840,"	1.5603464469236698e-18","	-38.4756831401337",,,
MT-ND4,ENSG00000198886,"	3.75183157911388e-17","	-28.4421988167186",,,
MT2A,ENSG00000125148,"	7.80962070570353e-13","	39.0948471552001",,,
NR3C2,ENSG00000151623,"	0.0110220115458776","	39.3054672567777",,,
PICALM,ENSG00000073921,"	3.96756927397262e-13","	29.4332410283255",,,
PIK3R3,ENSG00000117461,"	3.36068293821876e-12","	72.5410851699395",,,
PLPP1,ENSG00000067113,"	0.0103930142215236","	-103.465901849412",,,
PTPRG,ENSG00000144724,"	0.0124479651940754","	33.1184670694927",,,
RALGAPA2,ENSG00000188559,"	0.0055078819799249","	50.975831890472",,,
RIMKLB,ENSG00000166532,"	1.52446437254076e-07","	70.1068171491294",,,
SERPINE1,ENSG00000106366,"	3.19085147032444e-07","	60.9305734910472",,,
SGPP2,ENSG00000163082,"	1.1096535926496602e-09","	33.7956280996686",,,
SOX5,ENSG00000134532,"	0.000203335261965","	29.2410735544413",,,
ST6GALNAC3,ENSG00000184005,"	2.54516378911126e-12","	35.0047837136282",,,
TACC1,ENSG00000147526,"	2.8640646944978007e-15","	-73.1697419151462",,,
TCF4,ENSG00000196628,"	2.2951894208874e-07","	42.8863280013464",,,
TRPM3,ENSG00000083067,"	5.29443839572716e-13","	-35.418153006036",,,
TTR,ENSG00000118271,"	1.89603785522974e-13","	121.594031528463",,,
