"Gene Symbol","Ensembl ID",Pvalue,LogFC,Dataset,Accession,Tissue
AC016152.1,AC016152.1,"	2.3024566995461203e-09","	45.5005533984597",,,
AC060765.2,AC060765.2,"	1.17235204621486e-143","	-21.3832230701472",,,
AL161757.4,AL161757.4,"	2.1344115226843602e-58","	-29.5591458562363",,,
AUTS2,ENSG00000158321,"	5.18564236299958e-09","	36.3394656952229",,,
CACNA1C,ENSG00000151067,"	1.0985310287230898e-30","	-17.3265051339715",,,
CCDC84,CCDC84,"	8.43310391982584e-18","	-34.4365570554379",,,
CCSER1,ENSG00000184305,"	6.66426248724939e-20","	-18.313070369547",,,
CSMD1,ENSG00000183117,"	4.9494951720830005e-37","	159.915111088707",,,
CTNND2,ENSG00000169862,"	1.7569501468915802e-76","	43.0151422791243",,,
DGKI,ENSG00000157680,"	1.11910699541149e-60","	34.7607223956989",,,
DIRC3,ENSG00000231672,"	8.30270213061946e-167","	-27.2998991698444",,,
DLG2,ENSG00000150672,"	5.39892396376512e-17","	57.6935981419803",,,
DMD,ENSG00000198947,"	7.65861653808789e-32","	48.4494466777691",,,
DNM3,ENSG00000197959,"	5.01563383101642e-11","	-18.6672054661093",,,
ERBB4,ENSG00000178568,"	8.00253687119882e-05","	-17.3555134038409",,,
EXT1,ENSG00000182197,"	4.86484286359682e-08","	35.1977483871531",,,
FBLN1,ENSG00000077942,0.0,"	46.1749352340784",,,
FBXO32,ENSG00000156804,"	1.7113867133284e-92","	-22.0240786883872",,,
FP236383.3,FP236383.3,"	6.41707867583404e-36","	33.3471241455557",,,
FRMD4A,ENSG00000151474,"	1.2488917320505e-67","	82.1493171056921",,,
FTX,ENSG00000230590,"	0.0096897234722949","	33.1369185802609",,,
LINC00632,ENSG00000203930,"	9.82322223095689e-20","	-20.0310461571816",,,
LINGO1,ENSG00000169783,"	4.92322460848574e-32","	122.616190494778",,,
MACROD2,ENSG00000172264,"	1.7369254722038e-36","	37.4958658945234",,,
MALAT1,ENSG00000251562,"	1.12885783080156e-39","	51.922817980862",,,
MAML2,ENSG00000184384,"	1.55890382854777e-14","	41.7064249909584",,,
MICAL3,ENSG00000243156,"	1.17239418762975e-69","	-22.2880306717272",,,
MKLN1,ENSG00000128585,"	5.69883433723141e-18","	-26.2976690317924",,,
MT-ATP6,ENSG00000198899,"	2.72233237163391e-105","	50.4765512789562",,,
MT-ATP8,ENSG00000228253,"	1.91422564065389e-190","	42.1789537708224",,,
MT-CO1,ENSG00000198804,"	2.6954596950647802e-245","	117.293416871131",,,
MT-CO2,ENSG00000198712,"	3.4121808299005896e-232","	-36.0815795186205",,,
MT-CO3,ENSG00000198938,"	1.09352845664491e-265","	206.287591721888",,,
MT-CYB,ENSG00000198727,"	4.25140453542441e-176","	46.592697639826",,,
MT-ND1,ENSG00000198888,"	3.9783486785956897e-153","	-24.3568926311163",,,
MT-ND2,ENSG00000198763,"	1.02605549839521e-99","	-77.8462100742662",,,
MT-ND3,ENSG00000198840,"	6.897173038392601e-114","	159.129281463006",,,
MT-ND4,ENSG00000198886,"	1.34649953409531e-96","	-24.1481373608126",,,
MT-ND4L,ENSG00000212907,"	1.29408239034915e-49","	-31.6144586138338",,,
MT-ND5,ENSG00000198786,"	1.14609053729895e-86","	-16.9978211044555",,,
NRG3,ENSG00000185737,"	2.39781349792907e-22","	34.1564815162554",,,
NRXN3,ENSG00000021645,"	7.800557571896631e-31","	-26.5715010101161",,,
NTRK2,ENSG00000148053,"	1.14875551383544e-23","	36.145115816899",,,
PCDH7,ENSG00000169851,"	2.20279753625031e-46","	45.6997225324862",,,
PDE4D,ENSG00000113448,"	3.57817719338649e-82","	-36.0815795156278",,,
PDZD2,ENSG00000133401,"	5.75791353515852e-07","	-17.141527844577",,,
PITPNC1,ENSG00000154217,"	2.2874574097474e-68","	-18.6565967649498",,,
PLOD2,ENSG00000152952,"	3.9434534790004004e-52","	60.8714459046584",,,
PLPP1,ENSG00000067113,"	2.98798482414837e-65","	32.0216141408808",,,
PRLR,ENSG00000113494,"	1.41469129634967e-110","	63.6013158933962",,,
PTPRD,ENSG00000153707,"	3.02102265992971e-36","	112.965298858075",,,
RAPGEF6,ENSG00000158987,"	8.15514287758391e-89","	-20.7985775244652",,,
RASAL2,ENSG00000075391,"	1.19647727214688e-33","	-29.537344351462",,,
RUSC2,ENSG00000198853,"	2.41171870886414e-47","	-25.9607273221898",,,
SLC26A3,ENSG00000091138,"	4.24463813195131e-105","	-56.2547658059075",,,
SLC4A10,ENSG00000144290,"	0.0119556751714946","	-21.9112398738111",,,
SNHG14,ENSG00000224078,"	1.6284325491715798e-12","	167.328733049727",,,
SOD2,ENSG00000112096,"	5.40581042238075e-261","	56.4065441212843",,,
SOX5,ENSG00000134532,"	8.04111623261183e-06","	74.5158312257453",,,
TIMP3,ENSG00000100234,"	1.8478889214351705e-35","	-33.5563250256611",,,
TMEM108,ENSG00000144868,"	2.667437287997e-100","	-20.237457045193",,,
TRIO,ENSG00000038382,"	1.06310118303645e-28","	-18.2512535100019",,,
TTC28,ENSG00000100154,"	0.0020598754929551","	-17.8368407470287",,,
TTR,ENSG00000118271,0.0,inf,,,
WWOX,ENSG00000186153,"	1.60302506925221e-262","	-17.9229178943923",,,
