"Gene Symbol","Ensembl ID",Pvalue,LogFC,Dataset,Accession,Tissue
ATP1B3,ENSG00000069849,"	0.009749826391186","	79.1129168223684",,,
BICC1,ENSG00000122870,"	2.11147368409067e-42","	-24.3018473713255",,,
CACNA2D3,ENSG00000157445,"	2.0218178810867e-47","	54.4673490876023",,,
CCDC91,ENSG00000123106,"	0.0071572561837175","	-61.9061426708853",,,
CEMIP,ENSG00000103888,"	3.80725512527044e-83","	116.596604565729",,,
CLU,ENSG00000120885,"	7.62179529368938e-26","	138.263404692948",,,
FN1,ENSG00000115414,"	1.51339394166501e-85","	62.5901811417482",,,
FP236383.3,FP236383.3,"	4.04847009961653e-75","	67.6070275468363",,,
HSP90AA1,ENSG00000080824,"	8.4907541424662e-81","	-34.8599913485296",,,
IGFBP5,ENSG00000115461,"	6.10114022523382e-53","	104.89773277458",,,
KAZN,ENSG00000189337,"	0.0006084459184688","	79.1129156216119",,,
KCNMA1,ENSG00000156113,"	4.94040891060575e-66","	53.0632385535961",,,
LAMA2,ENSG00000196569,"	2.79136013646325e-06","	50.0746517351951",,,
LINC00486,ENSG00000236854,"	4.92309025495361e-99","	-189.218471313469",,,
LRP1B,ENSG00000168702,"	2.48892741209922e-99","	86.3263920869232",,,
MALAT1,ENSG00000251562,"	5.29641605362509e-57","	159.903839171883",,,
MAST4,ENSG00000069020,"	1.33505551180802e-39","	53.1514310110331",,,
MT-CO1,ENSG00000198804,"	7.8619926982783e-28","	-53.4318766589423",,,
MT-CO2,ENSG00000198712,"	1.3927841301827e-37","	88.3474486981291",,,
MT-CO3,ENSG00000198938,"	6.53673746545001e-36","	116.626583639567",,,
MT-ND1,ENSG00000198888,"	1.18728161428815e-50","	-47.8442467161272",,,
MT-ND2,ENSG00000198763,"	9.13721365250572e-68","	-158.931764864429",,,
MT-ND4L,ENSG00000212907,"	2.34379365601747e-84","	-26.1880515053712",,,
MYRIP,ENSG00000170011,"	1.25327324125149e-08","	77.6001235454733",,,
PDE7B,ENSG00000171408,"	3.00557763618625e-66","	53.0019527033283",,,
PRKAG2,ENSG00000106617,"	7.44847641781308e-11","	54.0753300786463",,,
PTGDS,ENSG00000107317,"	8.41771570205588e-138","	556.644796937222",,,
ROBO2,ENSG00000185008,"	0.0002054292287526","	68.9772713592606",,,
SLC4A4,ENSG00000080493,"	4.47778241815477e-89","	70.4567454142965",,,
THSD4,ENSG00000187720,"	4.4780288969667406e-67","	-30.4013375544761",,,
TIMP3,ENSG00000100234,"	5.8019210152766405e-09","	61.8005763914104",,,
TTR,ENSG00000118271,"	5.2876986283587506e-09","	373.422705221086",,,
USP53,ENSG00000145390,"	2.61833645880776e-32","	51.8547752369829",,,
