"Gene Symbol","Ensembl ID",Pvalue,LogFC,Dataset,Accession,Tissue
ADGRB3,ENSG00000135298,"	0.0135261924113683","	48.9098722124225",,,
ARHGAP26,ENSG00000145819,"	1.01739649463457e-28","	-29.9031554428903",,,
CADM2,ENSG00000175161,"	7.6123062186274e-31","	-30.2752474546974",,,
CCDC91,ENSG00000123106,"	1.21310915359146e-65","	-34.5614451261127",,,
CCSER1,ENSG00000184305,"	1.5684849553282797e-36","	-53.2090031299568",,,
CLU,ENSG00000120885,"	7.901264177298458e-41","	59.0345452669841",,,
CTNND2,ENSG00000169862,"	1.48735874821862e-64","	-76.9121385955931",,,
DOCK4,ENSG00000128512,"	2.47393963578523e-52","	61.9164481446389",,,
DPP10,ENSG00000175497,"	1.15885942397888e-43","	73.2783694028299",,,
DST,ENSG00000151914,"	2.28664181223391e-85","	-40.0635233964079",,,
ELOVL5,ENSG00000012660,"	3.05662703981886e-13","	46.0450884657748",,,
FMNL2,ENSG00000157827,"	0.000469718234183","	-34.7309437008823",,,
FP236383.3,FP236383.3,0.0,"	-65.0358879980959",,,
HSP90AB1,ENSG00000096384,"	6.94148027699948e-44","	54.5637958917879",,,
KAZN,ENSG00000189337,"	7.65641948864205e-36","	51.7474891772967",,,
KCNIP4,ENSG00000185774,"	1.0257895116043e-26","	-60.7086575685364",,,
LDLRAD4,ENSG00000168675,"	0.0004815617677398","	43.0668978860395",,,
LINC00486,ENSG00000236854,"	9.12015870157551e-294","	-89.8183456402737",,,
MALAT1,ENSG00000251562,"	3.82797086838697e-07","	189.86785291605",,,
MAML2,ENSG00000184384,"	1.75261820311978e-79","	43.1744946955364",,,
MAP1B,ENSG00000131711,"	4.60472052915963e-143","	-27.0385366311085",,,
MAP3K2,ENSG00000169967,"	7.24112861277992e-49","	-26.0843711353095",,,
MT-ATP6,ENSG00000198899,0.0,"	44.6075844010467",,,
MT-CO1,ENSG00000198804,0.0,"	172.977761138437",,,
MT-CO2,ENSG00000198712,0.0,"	44.6075981384133",,,
MT-CO3,ENSG00000198938,0.0,"	105.201270475788",,,
MT-ND1,ENSG00000198888,0.0,"	44.790375805652",,,
MT-ND3,ENSG00000198840,0.0,"	115.299651872907",,,
MT-ND4L,ENSG00000212907,"	1.92244271408519e-292","	-34.3008710701103",,,
NAV2,ENSG00000166833,"	4.4462644409843404e-14","	-29.5623006153874",,,
NEAT1,ENSG00000245532,0.0,"	-56.3908989597166",,,
NKAIN2,ENSG00000188580,"	0.0316690562367414","	77.7629111561073",,,
NRG3,ENSG00000185737,"	2.79312784053187e-22","	-54.4914838180398",,,
NRXN3,ENSG00000021645,"	1.58138586725722e-31","	85.9178516385904",,,
OPCML,ENSG00000183715,"	4.32351832414361e-47","	58.9985337870754",,,
PCDH9,ENSG00000184226,"	2.08972970071818e-12","	-40.5112262756737",,,
PDE4D,ENSG00000113448,"	2.86272783322051e-31","	128.158979935232",,,
PTGDS,ENSG00000107317,"	5.5245684581568906e-74","	196.189428211643",,,
RAPGEF6,ENSG00000158987,"	0.0202099989106694","	-27.529939573114",,,
RBPJ,ENSG00000168214,"	7.2558216447853e-47","	-93.8911321295749",,,
SLC1A2,ENSG00000110436,"	2.2753457818642702e-183","	-76.5787885291214",,,
TRPM3,ENSG00000083067,"	4.54686705847328e-28","	-26.0844555512273",,,
TSPAN5,ENSG00000168785,"	8.25750936851613e-13","	116.248626671163",,,
TTR,ENSG00000118271,"	1.5932429494414398e-22","	498.873414194241",,,
ZSWIM6,ENSG00000130449,"	1.07504931400217e-05","	56.349014040733",,,
