"Gene Symbol","Ensembl ID",Pvalue,LogFC,Dataset,Accession,Tissue
AC013287.1,AC013287.1,"	4.1303518850323796e-80","	29.660377109239",,,
ADGRB3,ENSG00000135298,"	1.63071369392359e-79","	-156.368886284546",,,
ADGRL3,ENSG00000150471,"	2.07472912612458e-34","	32.5931162928957",,,
ANKS1B,ENSG00000185046,"	8.54303014299544e-127","	29.734653254129",,,
ATRNL1,ENSG00000107518,"	1.29358088793749e-59","	-162.139732386321",,,
CADM2,ENSG00000175161,"	1.57633621094578e-33","	-95.7752653565985",,,
CAMK1D,ENSG00000183049,"	3.54990179375074e-43","	28.2959428775961",,,
CCSER1,ENSG00000184305,"	2.72103956814362e-66","	31.1205072876738",,,
CDH12,ENSG00000154162,"	1.33978952519815e-58","	36.4866110509963",,,
CDH18,ENSG00000145526,"	5.58929978795765e-95","	32.4128597950015",,,
CELF2,ENSG00000048740,"	6.49432744528286e-234","	-52.4949092757663",,,
CHRM3,ENSG00000133019,"	7.361353250188e-80","	-34.1913812571768",,,
CLU,ENSG00000120885,"	1.90154849624448e-07","	37.5052772191991",,,
CNTNAP2,ENSG00000174469,"	1.25589824341788e-131","	38.9183908993931",,,
CTNNA2,ENSG00000066032,"	1.52523519361226e-245","	-35.1124476780072",,,
DLG2,ENSG00000150672,"	1.1768577924711602e-173","	-51.0517494553533",,,
DLGAP1,ENSG00000170579,"	6.80155613820917e-142","	-92.3618028067805",,,
DPP10,ENSG00000175497,"	1.5692287764866601e-171","	55.6795362973101",,,
EPHA5,ENSG00000145242,"	1.57937511513319e-27","	32.4947726660674",,,
EPHA7,ENSG00000135333,"	4.22077005217875e-05","	30.2269278847348",,,
FMN2,ENSG00000155816,"	2.23625839441382e-87","	-51.6206574143963",,,
FP236383.3,FP236383.3,"	5.23201019129077e-103","	137.940836118583",,,
FSTL5,ENSG00000168843,"	3.11931756009278e-79","	51.3784427884199",,,
GABRB1,ENSG00000163288,"	7.8102455946818e-29","	33.9154142592272",,,
GRIK2,ENSG00000164418,"	1.98747811197677e-106","	51.307954343088",,,
HECW1,ENSG00000002746,"	6.74630663429811e-84","	38.7363778467306",,,
HTR2C,ENSG00000147246,0.0,"	-31.6108087809526",,,
IL1RAPL2,ENSG00000189108,"	1.36826373093608e-78","	47.05103618106",,,
IQCJ-SCHIP1,ENSG00000283154,"	1.59021088049973e-119","	114.817384982404",,,
KAZN,ENSG00000189337,"	1.67833598022372e-16","	41.2807768565654",,,
KCNH1,ENSG00000143473,"	1.07843863308363e-205","	-47.8690037249395",,,
KCNH7,ENSG00000184611,"	8.68557414268433e-71","	-39.4767781675369",,,
KCNQ5,ENSG00000185760,"	3.60000563279601e-130","	-55.3802944182503",,,
LINC00486,ENSG00000236854,"	5.462770513500221e-245","	-115.903394308565",,,
LINC00632,ENSG00000203930,"	5.20343858148499e-34","	90.3316508933111",,,
LINC01378,ENSG00000236922,"	1.1296153877343e-95","	47.8496678548229",,,
LINGO1,ENSG00000169783,"	0.0004124246102308","	80.1346319202399",,,
LRFN5,ENSG00000165379,"	9.09416313184146e-63","	-60.8701451177079",,,
MAGI2,ENSG00000187391,"	1.18032713646402e-06","	-84.2342001779147",,,
MALAT1,ENSG00000251562,"	1.45782079044312e-18",inf,,,
MT-CO1,ENSG00000198804,"	5.49593873384428e-162","	75.737332343365",,,
MT-ND2,ENSG00000198763,"	2.5611134625037103e-188","	-47.6864639596079",,,
MT-ND3,ENSG00000198840,"	3.59319551379192e-155","	149.482371150793",,,
MT-ND4,ENSG00000198886,"	4.42582300532792e-265","	30.7294141215401",,,
NCAM2,ENSG00000154654,"	2.2227536641769902e-54","	-45.0717063541804",,,
NEAT1,ENSG00000245532,"	2.0153531439414e-266","	-57.6737138072591",,,
NELL2,ENSG00000184613,"	7.78807637058717e-86","	48.8960903341161",,,
NKAIN2,ENSG00000188580,"	8.64863805810096e-197","	146.592763834347",,,
NRG3,ENSG00000185737,"	8.87622787933421e-59","	-40.5010569209936",,,
NRXN1,ENSG00000179915,"	8.63777381240509e-180","	-124.629661322114",,,
OPCML,ENSG00000183715,"	1.03758117837875e-269","	-56.819422580591",,,
PLEKHA5,ENSG00000052126,"	1.20094468863191e-11","	-49.5526354828581",,,
PTPRD,ENSG00000153707,"	4.0176257370097096e-272","	52.8218287061344",,,
PTPRK,ENSG00000152894,"	2.46468290197351e-18","	236.043403575879",,,
RGS7,ENSG00000182901,"	3.52785431175945e-191","	-34.0884908338495",,,
ROBO2,ENSG00000185008,"	4.70738064366216e-33","	65.8761719411029",,,
SEMA6D,ENSG00000137872,"	1.5986396425542598e-18","	-33.3781421677806",,,
SNTG1,ENSG00000147481,"	2.22029714382504e-37","	-72.6770589852902",,,
SYNPR,ENSG00000163630,"	1.12481023456429e-06","	-66.5796046390048",,,
SYT1,ENSG00000067715,"	8.59901250941508e-74","	-401.627109173889",,,
TMEM178B,ENSG00000261115,"	1.65759309108899e-137","	-44.671324127709",,,
TTR,ENSG00000118271,"	5.3157918209734e-156","	482.560672749166",,,
