Gene Symbol,Ensembl ID,Pvalue,LogFC,Dataset,Accession,Tissue,origem
ACTB,ENSG00000075624,0,	55.8583377956035,,,,BOST_bCells.csv
AFF3,ENSG00000144218,	1.02525700925189e-34,	-71.193609672303,,,,BOST_bCells.csv
ANKRD28,ENSG00000206560,	2.7379860264335494e-11,	-50.57273383793,,,,BOST_bCells.csv
AP001011.1,AP001011.1,	1.0714377586628398e-30,	-25.4252959923025,,,,BOST_bCells.csv
B2M,ENSG00000166710,	7.87119580016136e-141,	75.4142677316903,,,,BOST_bCells.csv
BACH2,ENSG00000112182,	8.60666925260638e-20,	-52.7674646374584,,,,BOST_bCells.csv
CCSER1,ENSG00000184305,	2.12296578876034e-19,	-39.5951465019962,,,,BOST_bCells.csv
CD74,ENSG00000019582,	5.65541720298145e-116,	44.07755524008,,,,BOST_bCells.csv
CEP128,ENSG00000100629,	8.36573942295658e-16,	-25.0424712529248,,,,BOST_bCells.csv
CST3,ENSG00000101439,	2.3183283182849807e-149,	135.10440160541,,,,BOST_bCells.csv
CXCL8,ENSG00000169429,	1.45753966423836e-37,	295.138030788031,,,,BOST_bCells.csv
EBF1,ENSG00000164330,	1.64748497547568e-17,	-33.6418744036941,,,,BOST_bCells.csv
EEF1A1,ENSG00000156508,0,	49.8578055736045,,,,BOST_bCells.csv
ELL2,ENSG00000118985,	9.41100778392416e-08,	-23.7434970344421,,,,BOST_bCells.csv
FNDC3B,ENSG00000075420,	1.03234662923051e-22,	-40.7787420841373,,,,BOST_bCells.csv
FTH1,ENSG00000167996,	7.09089474850156e-67,	365.643418019255,,,,BOST_bCells.csv
FTL,ENSG00000087086,	7.72664738035298e-131,	146.355900233351,,,,BOST_bCells.csv
GAB1,ENSG00000109458,	5.27407930938811e-27,	-23.691703324155,,,,BOST_bCells.csv
HDAC9,ENSG00000048052,	2.61269642780831e-19,	-29.5552199758074,,,,BOST_bCells.csv
IGHA1,ENSG00000211895,	4.24900078993766e-07,inf,,,,BOST_bCells.csv
IGHG1,ENSG00000211896,	6.313045044212901e-10,inf,,,,BOST_bCells.csv
IGHM,ENSG00000211899,	0.0173116757059684,inf,,,,BOST_bCells.csv
IGKC,ENSG00000211592,	7.52562964196304e-06,inf,,,,BOST_bCells.csv
ITPR2,ENSG00000123104,	1.30803731786129e-29,	-29.2464186875996,,,,BOST_bCells.csv
JCHAIN,ENSG00000132465,	6.516140892173951e-17,	728.841520284387,,,,BOST_bCells.csv
LPP,ENSG00000145012,	7.13485367827473e-16,	-53.838183065168,,,,BOST_bCells.csv
LRMP,LRMP,	0.036242682763941,	-28.4614780717524,,,,BOST_bCells.csv
LTB,ENSG00000227507,	1.1610196896085302e-31,	71.2782664352982,,,,BOST_bCells.csv
MALAT1,ENSG00000251562,	9.32533163577121e-19,inf,,,,BOST_bCells.csv
MT-ATP6,ENSG00000198899,	6.69287072113639e-134,	135.892815252096,,,,BOST_bCells.csv
MT-CO1,ENSG00000198804,	5.0468315884469405e-112,	138.245047872026,,,,BOST_bCells.csv
MT-CO2,ENSG00000198712,	8.1798434246312e-111,	126.859299868036,,,,BOST_bCells.csv
MT-CO3,ENSG00000198938,	8.61154432020446e-126,	129.931562003334,,,,BOST_bCells.csv
MT-CYB,ENSG00000198727,	8.32760196438462e-177,	120.858561238446,,,,BOST_bCells.csv
MT-ND3,ENSG00000198840,	4.73905402083819e-93,	137.320928334373,,,,BOST_bCells.csv
MT-ND4,ENSG00000198886,	5.66438144388075e-132,	87.8194099045168,,,,BOST_bCells.csv
NEDD9,ENSG00000111859,	1.3048623379178102e-25,	-43.8331494764323,,,,BOST_bCells.csv
NFKBIA,ENSG00000100906,	1.04061989023976e-148,	45.8148026126148,,,,BOST_bCells.csv
PELI1,ENSG00000197329,	3.61173788850946e-12,	-50.9380127463711,,,,BOST_bCells.csv
